-105,-675,0
-125,-675,0
-105,-725,0
-125,-725,0
-10,-525,0
-25,-535,2
-25,-515,2
-45,-515,2
-45,-535,2
-240,-75,0
-240,-125,0
-215,-100,2
-205,-75,0
-225,-75,0
-205,-125,0
-225,-125,0
-450,-150,0
-50,-900,0
-525,-10,0
-515,-25,2
-535,-25,2
-535,-45,2
-515,-45,2
-270,175,2
-230,175,2
-250,175,0
-280,165,0
-220,165,0
-220,185,0
-280,185,0
65,-275,2
85,-275,2
85,-255,2
65,-255,2
-250,-50,0
-25,-890,0
-35,-875,2
-15,-875,2
-15,-855,2
-35,-855,2
10,325,0
25,335,2
25,315,2
45,315,2
45,335,2
-150,-750,0
-160,-725,0
-140,-675,0
265,-525,2
285,-525,2
285,-505,2
265,-505,2
-10,-475,0
-25,-485,2
-25,-465,2
-45,-465,2
-45,-485,2
125,-570,2
125,-530,2
125,-550,0
135,-580,0
135,-520,0
115,-520,0
115,-580,0
115,225,2
135,225,2
135,245,2
115,245,2
0,-150,0
0,-50,0
-50,-300,0
-65,-310,2
-65,-290,2
-85,-290,2
-85,-310,2
215,210,2
215,190,2
235,190,2
235,210,2
0,350,0
-10,365,2
10,365,2
10,385,2
-10,385,2
-575,-10,0
-565,-25,2
-585,-25,2
-585,-45,2
-565,-45,2
-10,275,0
-10,325,0
-35,300,2
-45,275,0
-25,275,0
-45,325,0
-25,325,0
-450,-100,0
-460,-125,0
-460,-135,0
-450,100,1
-400,0,0
-500,0,0
-450,-100,0
-475,-25,2
-425,-25,2
-425,25,2
-475,25,2
-450,-50,2
-450,50,2
-450,0,2
-425,50,0
-475,50,0
-475,75,0
-425,75,0
-425,-75,0
-475,-75,0
